OSEBuildingID,BuildingType,PrimaryPropertyType,ZipCode,CouncilDistrictCode,Neighborhood,LargestPropertyUseType,SecondLargestPropertyUseType,ThirdLargestPropertyUseType,ENERGYSTARScore,TotalUseTypeNumber,BuildingAge,Building(s)_Proportion,Parking_Proportion,LargestPropertyUse_Proportion,SecondLargestPropertyUse_Proportion,ThirdLargestPropertyUse_Proportion,GFAPerBuilding,GFAPerFloor,ElectricityUseCategory_PrimaryPropertyType,SteamUseCategory_PrimaryPropertyType,NaturalGasUseCategory_PrimaryPropertyType,ElectricityUseCategory_BuildingType,SteamUseCategory_BuildingType,NaturalGasUseCategory_BuildingType,ElectricityUseCategory_AgeGroup,SteamUseCategory_AgeGroup,NaturalGasUseCategory_AgeGroup,DistanceToCenter,SiteEnergyUse(kBtu)_log
23040,NonResidential,K-12 School,98106.0,1,DELRIDGE,Education,Missing,Missing,92.0,1,92,1.0,0.0,0.4980802792321117,0.0,0.0,42975.0,21487.5,Medium_elec,Zero_Steam,Medium_gas,Medium_elec,Zero_steam,Low_gas,Low_elec,Zero_steam,Low_gas,10.13099306191549,13.774014377898675
23049,NonResidential,Other,98108.0,1,DELRIDGE,Other,Commercial,Other,,5,53,1.0,0.0,0.5621238177128117,0.43787618228718833,0.0,23260.0,23260.0,Medium_elec,Zero_Steam,Medium_gas,Medium_elec,Zero_steam,Low_gas,Medium_elec,Zero_steam,Medium_gas,8.075617427383598,14.293052421940493
23051,NonResidential,Small- and Mid-Sized Office,98106.0,1,DELRIDGE,Commercial,Warehouse,Commercial,88.0,3,28,1.0,0.0,0.8892005610098177,0.28223360187873053,0.00929580221142242,30659.0,15329.5,Medium_elec,Zero_Steam,Low_gas,Medium_elec,Zero_steam,Low_gas,High_elec,Zero_steam,High_gas,8.149800517160095,14.77833729625456
23056,NonResidential,Other,98109.0,7,MAGNOLIA / QUEEN ANNE,Other,Missing,Missing,,1,96,1.0,0.0,1.0,0.0,0.0,27144.0,13572.0,Medium_elec,Zero_Steam,Medium_gas,Medium_elec,Zero_steam,Low_gas,Low_elec,Zero_steam,Low_gas,2.8781544854351675,13.827464141362581
23064,NonResidential,Other,98133.0,5,NORTHWEST,Other,Missing,Missing,,1,46,1.0,0.0,1.0,0.0,0.0,4633.2,23166.0,Medium_elec,Zero_Steam,Medium_gas,Medium_elec,Zero_steam,Low_gas,Medium_elec,Zero_steam,Medium_gas,11.551700239603704,15.061336736755269
23065,NonResidential,Medical Office,98133.0,5,NORTHWEST,Commercial,Parking,Missing,81.0,2,37,1.0,0.0,1.2850484766535286,0.0,0.0,34759.0,17379.5,High_elec,Zero_Steam,Zero_gas,Medium_elec,Zero_steam,Zero_gas,Medium_elec,Zero_steam,Zero_gas,11.052485185630404,14.3059945106761
23071,NonResidential,Hospital,98133.0,5,NORTHWEST,Other,Parking,Missing,85.0,2,50,1.0,0.0,1.1633367979366362,0.6419933980059284,0.0,51954.0,415632.0,High_elec,Zero_Steam,High_gas,Medium_elec,Zero_steam,Low_gas,Medium_elec,Zero_steam,Medium_gas,12.019966242996954,18.41023413767492
23076,NonResidential,Worship Facility,98133.0,5,NORTHWEST,Recreation,Commercial,Commercial,,3,51,1.0,0.0,1.026610612938572,0.02292090610255149,0.021735727543102483,44719.0,22359.5,Low_elec,Zero_Steam,Medium_gas,Medium_elec,Zero_steam,Low_gas,Medium_elec,Zero_steam,Medium_gas,12.37043833217996,14.294243011188714
23098,NonResidential,Supermarket / Grocery Store,98144.0,2,GREATER DUWAMISH,Retail,Missing,Missing,16.0,1,51,1.0,0.0,1.0,0.0,0.0,21603.0,21603.0,High_elec,Zero_Steam,High_gas,Medium_elec,Zero_steam,Low_gas,Medium_elec,Zero_steam,Medium_gas,3.3567134111009103,15.579179318440646
23113,NonResidential,Medical Office,98112.0,3,EAST,Commercial,Parking,Other,60.0,4,52,1.0,0.0,0.8787224589978394,0.47702882356021564,0.09148773355901625,591981.0,197327.0,High_elec,Zero_Steam,Medium_gas,Medium_elec,Zero_steam,Low_gas,Medium_elec,Zero_steam,Medium_gas,2.1470936016313424,18.447066527198004
