OSEBuildingID,BuildingType,PrimaryPropertyType,ZipCode,CouncilDistrictCode,Neighborhood,LargestPropertyUseType,SecondLargestPropertyUseType,ThirdLargestPropertyUseType,ENERGYSTARScore,TotalUseTypeNumber,BuildingAge,LargestPropertyUseTypeGFA_log,PropertyGFABuilding(s)_log,PropertyGFATotal_log,ThirdLargestPropertyUseTypeGFA_log,SecondLargestPropertyUseTypeGFA_log,Building(s)_Proportion,Parking_Proportion,LargestPropertyUse_Proportion,SecondLargestPropertyUse_Proportion,ThirdLargestPropertyUse_Proportion,GFAPerBuilding,GFAPerFloor,ElectricityUseCategory_PrimaryPropertyType,SteamUseCategory_PrimaryPropertyType,NaturalGasUseCategory_PrimaryPropertyType,ElectricityUseCategory_BuildingType,SteamUseCategory_BuildingType,NaturalGasUseCategory_BuildingType,ElectricityUseCategory_AgeGroup,SteamUseCategory_AgeGroup,NaturalGasUseCategory_AgeGroup,DistanceToCenter,TotalGHGEmissions_log
615,NonResidential,Large Office,98104.0,7,DOWNTOWN,Commercial,Retail,Missing,79.0,2,116,11.724870546830255,12.009942183149128,12.009942183149128,0.0,9.942515939503606,1.0,0.0,0.7519588757756418,0.1265056576225818,0.0,164380.0,41095.0,High_elec,Medium_steam,Medium_gas,Medium_elec,Medium_steam,Low_gas,Medium_elec,Extreme_high_steam,Low_gas,0.7321883168861034,4.877560939870913
616,NonResidential,Large Office,98104.0,2,DOWNTOWN,Commercial,Missing,Missing,98.0,1,109,11.986553767144867,11.986553767144867,11.986553767144867,0.0,0.0,1.0,0.0,1.0,0.0,0.0,160580.0,22940.0,High_elec,Medium_steam,Medium_gas,Medium_elec,Medium_steam,Low_gas,Low_elec,Low_steam,Low_gas,0.8473531071521722,4.611052849146247
619,Nonresidential COS,Other,98104.0,2,DOWNTOWN,Other,Commercial,Other,,4,110,10.42370889794248,11.123668295706272,11.123668295706272,9.391744841707654,9.88867843688242,1.0,0.0,0.49659803704523653,0.29082724522175485,0.17693159176444542,67755.0,22585.0,Medium_elec,Zero_Steam,Zero_gas,Medium_elec,Zero_steam,Zero_gas,Low_elec,Zero_steam,Zero_gas,0.84902669515944,2.658859956911438
621,NonResidential,Warehouse,98134.0,2,GREATER DUWAMISH,Warehouse,Retail,Missing,83.0,2,94,10.97632038821675,11.324823232217247,11.324823232217247,0.0,10.055478759522249,1.0,0.0,0.7057403562979772,0.2810070969922271,0.0,82852.0,82852.0,Low_elec,Zero_Steam,Low_gas,Medium_elec,Zero_steam,Low_gas,Low_elec,Zero_steam,Low_gas,1.4528176261641415,4.198103796512953
622,NonResidential,Other,98134.0,2,GREATER DUWAMISH,Other,Warehouse,Commercial,,3,63,10.829748417047593,11.244300644051904,11.244300644051904,8.936561204693394,9.798182590890704,1.0,0.0,0.6606315899636326,0.2354726459276314,0.09947411109076162,76442.0,38221.0,Medium_elec,Zero_Steam,Medium_gas,Medium_elec,Zero_steam,Low_gas,Low_elec,Zero_steam,Medium_gas,2.979501094318067,4.894850261102546
623,NonResidential,Distribution Center,98134.0,2,GREATER DUWAMISH,Warehouse,Commercial,Missing,56.0,2,54,11.35444542698174,11.438126484894745,11.438126484894745,0.0,9.505692950732183,1.0,0.0,0.9197236830761273,0.1447861884645228,0.0,92792.0,46396.0,Low_elec,Zero_Steam,Low_gas,Medium_elec,Zero_steam,Low_gas,Medium_elec,Zero_steam,Medium_gas,3.2956707175542923,4.319885238136032
624,NonResidential,Other,98134.0,2,GREATER DUWAMISH,Other,Missing,Missing,,1,75,11.869914359621278,11.740220387406914,11.740220387406914,0.0,0.0,1.0,0.0,1.1384810267768226,0.0,0.0,62759.5,62759.5,Medium_elec,Zero_Steam,Zero_gas,Medium_elec,Zero_steam,Zero_gas,Medium_elec,Zero_steam,Zero_gas,2.420203877754823,2.8124102164264526
625,NonResidential,Large Office,98134.0,2,GREATER DUWAMISH,Commercial,Missing,Missing,80.0,1,116,11.560476766828451,11.544433821905134,11.767575435251748,0.0,0.0,0.8,0.2,0.812937984496124,0.0,0.0,129000.0,32250.0,High_elec,Zero_Steam,Zero_gas,Medium_elec,Zero_steam,Zero_gas,Medium_elec,Zero_steam,Zero_gas,2.514721413292675,3.449987545831587
626,NonResidential,Warehouse,98134.0,2,GREATER DUWAMISH,Warehouse,Missing,Missing,69.0,1,62,11.274858613060642,11.274858613060642,11.274858613060642,0.0,0.0,1.0,0.0,1.0,0.0,0.0,78814.0,78814.0,Low_elec,Zero_Steam,Low_gas,Medium_elec,Zero_steam,Low_gas,Low_elec,Zero_steam,Medium_gas,2.0452755467609602,2.8610573702273894
627,NonResidential,Small- and Mid-Sized Office,98134.0,2,GREATER DUWAMISH,Commercial,Warehouse,Other,,4,112,10.593404521575788,10.984801076625908,10.984801076625908,8.853808274977197,9.358846580275406,1.0,0.0,0.6761064948278785,0.19671019162285908,0.11870442597931151,58970.0,14742.5,Medium_elec,Zero_Steam,Low_gas,Medium_elec,Zero_steam,Low_gas,Medium_elec,Zero_steam,Low_gas,1.2665031337131414,3.7419461750506287
628,NonResidential,Distribution Center,98134.0,2,GREATER DUWAMISH,Warehouse,Commercial,Parking,15.0,3,106,10.840384510303231,11.079076314320059,11.233224789593368,8.699681400989514,9.259225769705994,0.8571428571428571,0.14285714285714285,0.6751322751322751,0.1388888888888889,0.07936507936507936,75600.0,12600.0,Low_elec,Zero_Steam,Zero_gas,Medium_elec,Zero_steam,Zero_gas,Low_elec,Zero_steam,Zero_gas,1.3583526223010522,2.9826470340053355
